# These classes are included in training, but ignored in analysis by default (see ignore.txt)
American Bullfrog,FROG-BULL
American Toad,TOAD-AMER
Boreal Chorus Frog,FROG-BOCH
Canine,Canine
Canadian Toad,TOAD-CANA
Gray Treefrog,FROG-GRTR
Great Plains Toad,TOAD-GRPL
Green Frog,FROG-GREN
Northern Leopard Frog,FROG-LEOP
Mashup,Mashup
Noise,Noise
Other,Other
Pickerel Frog,FROG-PICK
Plains Spadefoot Toad,TOAD-PLSP
Rooster,Rooster
Spring Peeper,FROG-PEEP
Squirrel,Squirrel
Western Toad,TOAD-WEST
Wood Frog,FROG-WOOD

# These bird species are included in the provided model
Acadian Flycatcher,ACFL
Alder Flycatcher,ALFL
American Avocet,AMAV
American Bittern,AMBI
American Coot,AMCO
American Crow,AMCR
American Dipper,AMDI
American Golden-Plover,AMGP
American Goldfinch,AGOL
American Kestrel,AMKE
American Pipit,AMPI
American Redstart,AMRE
American Robin,AMRO
American Three-toed Woodpecker,ATTW
American Tree Sparrow,ATSP
American Wigeon,AMWI
American Woodcock,AMWO
Anna's Hummingbird,ANHU
Arctic Tern,ARTE
Baird's Sparrow,BAIS
Baird's Sandpiper,BASA
Bald Eagle,BAEA
Baltimore Oriole,BAOR
Band-tailed Pigeon,BTPI
Bank Swallow,BANS
Barn Owl,BANO
Barn Swallow,BARS
Barred Owl,BADO
Bay-breasted Warbler,BBWA
Bell's Vireo,BEVI
Belted Kingfisher,BEKI
Bewick's Wren,BEWR
Black Oystercatcher,BLOY
Black Rail,BLRA
Black Tern,BLTE
Black Turnstone,BLTU
Black-and-white Warbler,BAWW
Black-backed Woodpecker,BBWO
Black-bellied Plover,BBPL
Black-billed Cuckoo,BBCU
Black-billed Magpie,BBMA
Black-capped Chickadee,BCCH
Black-crowned Night Heron,BCNH
Black-headed Grosbeak,BHGR
Black-throated Blue Warbler,BTBW
Black-throated Gray Warbler,BTGW
Black-throated Green Warbler,BTNW
Blackburnian Warbler,BLBW
Blackpoll Warbler,BLPW
Blue Jay,BLJA
Blue-gray Gnatcatcher,BGGN
Blue-headed Vireo,BHVI
Blue-winged Teal,BWTE
Blue-winged Warbler,BWWA
Bobolink,BOBO
Bohemian Waxwing,BOWA
Bonaparte's Gull,BOGU
Boreal Chickadee,BOCH
Boreal Owl,BOOW
Brant,BRAN
Brewer's Blackbird,BRBL
Brewer's Sparrow,BRSP
Broad-winged Hawk,BWHA
Brown Creeper,BRCR
Brown Thrasher,BRTH
Brown-headed Cowbird,BHCO
Bufflehead,BUFF
Bullock's Oriole,BUOR
Bushtit,BUSH
California Gull,CAGU
California Quail,CAQU
Canada Goose,CANG
Canada Jay,CAJA
Canada Warbler,CAWA
Cape May Warbler,CMWA
Carolina Wren,CARW
Caspian Tern,CATE
Cassin's Finch,CAFI
Cassin's Vireo,CAVI
Cedar Waxwing,CEDW
Cerulean Warbler,CERW
Chestnut-backed Chickadee,CBCH
Chestnut-collared Longspur,CCLO
Chestnut-sided Warbler,CSWA
Chimney Swift,CHSW
Chipping Sparrow,CHSP
Chuck-will's-widow,CWWI
Clapper Rail,CLRA
Clark's Nutcracker,CLNU
Clay-colored Sparrow,CCSP
Cliff Swallow,CLSW
Common Gallinule,COGA
Common Goldeneye,COGO
Common Grackle,COGR
Common Loon,COLO
Common Merganser,COME
Common Murre,COMU
Common Nighthawk,CONI
Common Poorwill,COPO
Common Raven,CORA
Common Tern,COTE
Common Yellowthroat,COYE
Connecticut Warbler,CONW
Cooper's Hawk,COHA
Dark-eyed Junco,DEJU
Dickcissel,DICK
Double-crested Cormorant,DCCO
Downy Woodpecker,DOWO
Dunlin,DUNL
Dusky Flycatcher,DUFL
Eared Grebe,EAGR
Eastern Bluebird,EABL
Eastern Kingbird,EAKI
Eastern Meadowlark,EAME
Eastern Phoebe,EAPH
Eastern Screech-Owl,EASO
Eastern Towhee,EATO
Eastern Whip-poor-will,EWPW
Eastern Wood-Pewee,EAWP
Eurasian Collared-Dove,EUCD
European Starling,EUST
Evening Grosbeak,EVGR
Field Sparrow,FISP
Fish Crow,FICR
Forster's Tern,FOTE
Fox Sparrow,FOSP
Franklin's Gull,FRGU
Gadwall,GADW
Glaucous-winged Gull,GWGU
Golden Eagle,GOEA
Golden-crowned Kinglet,GCKI
Golden-crowned Sparrow,GCSP
Golden-winged Warbler,GWWA
Grasshopper Sparrow,GRSP
Gray Catbird,GRCA
Gray Flycatcher,GRFL
Gray Partridge,GRAP
Gray-cheeked Thrush,GCTH
Great Black-backed Gull,GBBG
Great Blue Heron,GBHE
Great Crested Flycatcher,GCFL
Great Egret,GREG
