COMMON_NAME,CODE4,CODE6
Acadian Flycatcher,ACFL,acafly
Alder Flycatcher,ALFL,aldfly
American Avocet,AMAV,ameavo
American Bittern,AMBI,amebit
American Coot,AMCO,y00475
American Crow,AMCR,amecro
American Dipper,AMDI,amedip
American Golden-Plover,AMGP,amgplo
American Goldfinch,AGOL,amegfi
American Goshawk,AGOS,norgos
American Kestrel,AMKE,amekes
American Pipit,AMPI,amepip
American Redstart,AMRE,amered
American Robin,AMRO,amerob
American Three-toed Woodpecker,ATTW,attwoo1
American Tree Sparrow,ATSP,amtspa
American Wigeon,AMWI,amewig
American Woodcock,AMWO,amewoo
Anna's Hummingbird,ANHU,annhum
Arctic Tern,ARTE,arcter
Baird's Sandpiper,BASA,baisan
Baird's Sparrow,BAIS,baispa
Bald Eagle,BAEA,baleag
Baltimore Oriole,BAOR,balori
Band-tailed Pigeon,BTPI,batpig1
Bank Swallow,BANS,banswa
Barn Owl,BANO,brnowl
Barn Swallow,BARS,barswa
Barred Owl,BADO,brdowl
Bay-breasted Warbler,BBWA,babwar
Bell's Vireo,BEVI,belvir
Belted Kingfisher,BEKI,belkin1
Bewick's Wren,BEWR,bewwre
Black Oystercatcher,BLOY,blkoys
Black Tern,BLTE,blkter
Black Turnstone,BLTU,blktur
Black-and-white Warbler,BAWW,bawwar
Black-backed Woodpecker,BBWO,bkbwoo
Black-bellied Plover,BBPL,bkbplo
Black-billed Cuckoo,BBCU,bkbcuc
Black-billed Magpie,BBMA,bkbmag1
Black-capped Chickadee,BCCH,bkcchi
Black-crowned Night Heron,BCNH,bcnher
Black-headed Grosbeak,BHGR,bkhgro
Black-throated Blue Warbler,BTBW,btbwar
Black-throated Gray Warbler,BTGW,btywar
Black-throated Green Warbler,BTNW,btnwar
Blackburnian Warbler,BLBW,bkbwar
Blackpoll Warbler,BLPW,bkpwar
Blue Jay,BLJA,blujay
Blue-gray Gnatcatcher,BGGN,buggna
Blue-headed Vireo,BHVI,buhvir
Blue-winged Teal,BWTE,buwtea
Blue-winged Warbler,BWWA,buwwar
Bobolink,BOBO,boboli
Bohemian Waxwing,BOWA,bohwax
Bonaparte's Gull,BOGU,bongul
Boreal Chickadee,BOCH,borchi2
Boreal Owl,BOOW,borowl
Brant,BRAN,brant
Brewer's Blackbird,BRBL,brebla
Brewer's Sparrow,BRSP,brespa
Broad-winged Hawk,BWHA,brwhaw
Brown Creeper,BRCR,brncre
Brown Thrasher,BRTH,brnthr
Brown-headed Cowbird,BHCO,bnhcow
Bufflehead,BUFF,buffle
Bullock's Oriole,BUOR,bulori
Bushtit,BUSH,bushti
California Gull,CAGU,calgul
California Quail,CAQU,calqua
Canada Goose,CANG,cangoo
Canada Jay,CAJA,gryjay
Canada Warbler,CAWA,canwar
Cape May Warbler,CMWA,camwar
Carolina Wren,CARW,carwre
Caspian Tern,CATE,caster1
Cassin's Vireo,CAVI,casvir
Cassin's Finch,CAFI,casfin
Cedar Waxwing,CEDW,cedwax
Cerulean Warbler,CERW,cerwar
Chestnut-backed Chickadee,CBCH,chbchi
Chestnut-collared Longspur,CCLO,chclon
Chestnut-sided Warbler,CSWA,chswar
Chimney Swift,CHSW,chiswi
Chipping Sparrow,CHSP,chispa
Chuck-will's-widow,CWWI,chwwid
Clark's Nutcracker,CLNU,clanut
Clay-colored Sparrow,CCSP,clcspa
Cliff Swallow,CLSW,cliswa
Common Gallinule,COGA,comgal1
Common Goldeneye,COGO,comgol
Common Grackle,COGR,comgra
Common Loon,COLO,comloo
Common Merganser,COME,commer
Common Murre,COMU,commur
Common Nighthawk,CONI,comnig
Common Poorwill,COPO,compoo
Common Raven,CORA,comrav
Common Redpoll,CORE,comred
Common Tern,COTE,comter
Common Yellowthroat,COYE,comyel
Connecticut Warbler,CONW,conwar
Cooper's Hawk,COHA,coohaw
Dark-eyed Junco,DEJU,daejun
Dickcissel,DICK,dickci
Double-crested Cormorant,DCCO,doccor
Downy Woodpecker,DOWO,dowwoo
Dunlin,DUNL,dunlin
Dusky Flycatcher,DUFL,dusfly
Eared Grebe,EAGR,eargre
Eastern Bluebird,EABL,easblu
Eastern Kingbird,EAKI,easkin
Eastern Meadowlark,EAME,easmea
Eastern Phoebe,EAPH,easpho
Eastern Screech-Owl,EASO,easowl1
Eastern Towhee,EATO,eastow
Eastern Whip-poor-will,EWPW,easwpw1
Eastern Wood-Pewee,EAWP,eawpew
Eurasian Collared-Dove,EUCD,eucdov
European Starling,EUST,eursta
Evening Grosbeak,EVGR,evegro
Field Sparrow,FISP,fiespa
Forster's Tern,FOTE,forter
Fox Sparrow,FOSP,foxspa
Franklin's Gull,FRGU,fragul
Gadwall,GADW,gadwal
Glaucous-winged Gull,GWGU,glwgul
Golden Eagle,GOEA,goleag
Golden-crowned Kinglet,GCKI,gockin
Golden-crowned Sparrow,GCSP,gocspa
Golden-winged Warbler,GWWA,gowwar
Grasshopper Sparrow,GRSP,graspa
Gray Catbird,GRCA,grycat
Gray Flycatcher,GRFL,gryfly
Gray Partridge,GRAP,grypar
Gray-cheeked Thrush,GCTH,gycthr
Great Black-backed Gull,GBBG,gbbgul
Great Blue Heron,GBHE,grbher3
Great Crested Flycatcher,GCFL,grcfly
Great Egret,GREG,greegr
Great Gray Owl,GGOW,grgowl
Great Horned Owl,GHOW,grhowl
Greater White-fronted Goose,GWFG,gwfgoo
Greater Yellowlegs,GRYE,greyel
Green Heron,GRHE,grnher
Green-winged Teal,GWTE,gnwtea
Hairy Woodpecker,HAWO,haiwoo
Hammond's Flycatcher,HAFL,hamfly
Harris's Sparrow,HASP,harspa
Henslow's Sparrow,HESP,henspa
Hermit Thrush,HETH,herthr
Herring Gull,HERG,hergul
Hooded Merganser,HOME,hoomer
Hooded Warbler,HOWA,hoowar
Horned Grebe,HOGR,horgre
Horned Lark,HOLA,horlar
House Finch,HOFI,houfin
House Sparrow,HOSP,houspa
House Wren,HOWR,houwre
Indigo Bunting,INBU,indbun
Kentucky Warbler,KEWA,kenwar
Killdeer,KILL,killde
Kirtland's Warbler,KIWA,kirwar
Lapland Longspur,LALO,laplon
Lark Sparrow,LASP,larspa
Lazuli Bunting,LAZB,lazbun
Least Bittern,LEBI,leabit
Least Flycatcher,LEFL,leafly
Least Sandpiper,LESA,leasan
LeConte's Sparrow,LCSP,lecspa
Lesser Black-backed Gull,LBBG,lbbgul
Lesser Yellowlegs,LEYE,lesyel
Lincoln's Sparrow,LISP,linspa
Loggerhead Shrike,LOSH,logshr
Long-billed Curlew,LBCU,lobcur
Long-billed Dowitcher,LBDO,lobdow
Long-eared Owl,LEOW,loeowl
Long-tailed Duck,LTDU,lotduc
Louisiana Waterthrush,LOWA,louwat
MacGillivray's Warbler,MGWA,macwar
Magnolia Warbler,MAWA,magwar
Mallard,MALL,mallar3
Marbled Godwit,MAGO,margod
Marbled Murrelet,MAMU,marmur
Marsh Wren,MAWR,marwre
Merlin,MERL,merlin
Mountain Bluebird,MOBL,moublu
Mountain Chickadee,MOCH,mouchi
Mourning Dove,MODO,moudov
Mourning Warbler,MOWA,mouwar
Mute Swan,MUSW,mutswa
Nashville Warbler,NAWA,naswar
Nelson's Sparrow,NESP,nstspa
Northern Cardinal,NOCA,norcar
Northern Flicker,NOFL,norfli
Northern Harrier,NOHA,norhar2
Northern Hawk Owl,NHOW,nohowl
Northern Parula,NOPA,norpar
Northern Pintail,NOPI,norpin
Northern Pygmy-Owl,NOPO,nopowl
Northern Rough-winged Swallow,NRWS,nrwswa
Northern Saw-whet Owl,NSWO,nswowl
Northern Shoveler,NSHO,norsho
Northern Shrike,NSHR,norshr4
Northern Waterthrush,NOWA,norwat
Olive-sided Flycatcher,OSFL,olsfly
Orange-crowned Warbler,OCWA,orcwar
Orchard Oriole,OROR,orcori
Osprey,OSPR,osprey
Ovenbird,OVEN,ovenbi1
Pacific Wren,PAWR,pacwre1
Pacific-slope Flycatcher,PSFL,pasfly
Palm Warbler,PAWA,palwar
Pectoral Sandpiper,PESA,pecsan
Peregrine Falcon,PEFA,perfal
Philadelphia Vireo,PHVI,phivir
Pied-billed Grebe,PBGR,pibgre
Pileated Woodpecker,PIWO,pilwoo
Pine Grosbeak,PIGR,pingro
Pine Siskin,PISI,pinsis
Pine Warbler,PIWA,pinwar
Prairie Warbler,PRAW,prawar
Prothonotary Warbler,PROW,prowar
Purple Finch,PUFI,purfin
Purple Martin,PUMA,purmar
Red Crossbill,RECR,redcro
Red-bellied Woodpecker,RBWO,rebwoo
Red-breasted Nuthatch,RBNU,rebnut
Red-breasted Sapsucker,RBSA,rebsap
Red-eyed Vireo,REVI,reevir1
Red-headed Woodpecker,RHWO,rehwoo
Red-naped Sapsucker,RNSA,rensap
Red-necked Grebe,RNGR,rengre
Red-necked Phalarope,RNPH,renpha
Red-shouldered Hawk,RSHA,reshaw
Red-tailed Hawk,RTHA,rethaw
Red-throated Loon,RTLO,retloo
Red-winged Blackbird,RWBL,rewbla
Redhead,REDH,redhea
Ring-billed Gull,RBGU,ribgul
Ring-necked Duck,RNDU,rinduc
Ring-necked Pheasant,RNEP,rinphe1
Rock Pigeon,ROPI,rocpig
Rock Wren,ROWR,rocwre
Rose-breasted Grosbeak,RBGR,robgro
Rough-legged Hawk,RLHA,rolhaw
Ruby-crowned Kinglet,RCKI,ruckin
Ruby-throated Hummingbird,RTHU,rthhum
Ruddy Duck,RUDU,rudduc
Ruddy Turnstone,RUTU,rudtur
Ruffed Grouse,RUGR,rufgro
Rufous Hummingbird,RUHU,rufhum
